"country","year","disease_name","disease_category","prevalence_rate","incidence_rate","mortality_rate","age_group","gender","population_affected","healthcare_access","doctors_per_1000","hospital_beds_per_1000","treatment_type","average_treatment_cost_usd","availability_of_vaccines_treatment","recovery_rate","dal_ys","improvement_in_5_years","per_capita_income_usd","education_index","urbanization_rate"
"Indonesia",2020,"Diabetes","Respiratory",5.47,11.13,8.21,"Senior","Other",552789,88.28,1.51,3.29,"Therapy",9688,"No",85.69,3770,7.33,80851,0.87,32.41
"Nigeria",2023,"Cholera","Neurological",1.36,10.42,6.51,"Senior","Male",550921,54.54,1.85,5.95,"Vaccination",49213,"No",98.63,3622,3.63,90168,0.62,82.76
"South Korea",2020,"Dengue","Cardiovascular",8.5,10.74,9.16,"Young Adult","Female",447799,90.63,4.27,5.05,"Vaccination",10889,"No",80.83,500,8.61,60429,0.59,25.42
"Canada",2021,"Malaria","Metabolic",2.93,12.63,7.63,"Young Adult","Other",853914,55,0.75,0.93,"Medication",5623,"Yes",61.8,66,5.29,63627,0.59,80.27
"Argentina",2021,"Dengue","Autoimmune",15.37,8.19,0.39,"Adult","Female",57406,51.61,2.88,3.25,"Therapy",3237,"Yes",80.48,1268,0.77,86282,0.45,61.76
"Japan",2021,"Ebola","Bacterial",8.85,0.22,7.38,"Child","Female",643515,63.36,3.89,7.4,"Therapy",16576,"Yes",90.65,2667,7.68,62668,0.46,47.9
"UK",2020,"Parkinson's Disease","Chronic",6.1,11.18,9.72,"Child","Male",455767,56.88,2.7,9.72,"Medication",14372,"Yes",55.09,1940,0.91,34254,0.43,27.32
"Italy",2020,"Measles","Viral",15.4,4.04,9.86,"Young Adult","Female",994745,86.43,1.67,0.83,"Vaccination",49629,"No",81.94,3294,0.37,4383,0.47,89.27
"Australia",2020,"Alzheimer's Disease","Metabolic",16.33,7.74,1.16,"Senior","Male",841593,85.2,2.8,1.87,"Medication",24651,"No",89.18,1174,4.47,84370,0.41,44.76
"Canada",2020,"Hepatitis","Metabolic",4.72,9.09,6.43,"Adult","Female",695103,91.05,2.54,9.59,"Therapy",32421,"Yes",62.62,1416,0.78,48183,0.64,68.29
"Australia",2023,"Influenza","Chronic",19.12,8.72,6.23,"Young Adult","Male",817006,60.67,1.94,7.07,"Vaccination",31723,"Yes",89.85,1887,8.72,1013,0.48,64.04
"France",2021,"Asthma","Genetic",8.66,13.57,5.22,"Young Adult","Male",210345,72.07,3.46,8.23,"Surgery",6199,"Yes",53.8,2125,2.86,2482,0.9,63.31
"Argentina",2021,"Asthma","Bacterial",5.45,8.55,4.03,"Young Adult","Other",434849,97.04,4.86,7.24,"Surgery",6570,"No",84.78,4994,8.46,16549,0.86,69.4
"France",2024,"Tuberculosis","Autoimmune",1.36,4.68,5.26,"Young Adult","Female",807615,64.39,3.64,9.11,"Medication",43631,"No",54.27,723,3.98,55809,0.78,27.7
"Indonesia",2021,"Leprosy","Genetic",16.68,0.18,4.02,"Young Adult","Female",105889,54.91,2.7,2.21,"Vaccination",39130,"No",94.58,2394,0.72,63944,0.52,32.35
"France",2020,"Measles","Parasitic",5.05,0.19,1.86,"Child","Other",402305,89.92,3.17,5.17833333333333,"Medication",21688,"No",60.76,3234,2.5,15359,0.78,88.88
"Brazil",2020,"Influenza","Bacterial",10.44,12.62,9.12,"Senior","Other",711496,61.68,1.16,6.62,"Surgery",20794,"Yes",72.57,4145,8.45,6888,0.7,82.4
"Indonesia",2024,"Zika","Neurological",3.72,10,5.58,"Senior","Male",142628,55.05,4.24,3.06,"Therapy",1415,"No",98.24,2708,0.66,28708,0.44,35.01
"Mexico",2023,"Cancer","Viral",4.89,2.36,8.19,"Child","Female",120633,67.5,3.8,4.92,"Medication",35220,"No",66.11,4316,3.56,41408,0.63,70.8
"Indonesia",2020,"Alzheimer's Disease","Metabolic",3.67,1.57,8.33,"Child","Female",462772,61.02,3.93,4.87,"Vaccination",42711,"Yes",69.66,336,1.48,11389,0.55,44.18
"Russia",2022,"Diabetes","Infectious",17.73,5.22,5.92,"Child","Other",421550,61.06,1.2,1.48,"Medication",38137,"No",95.49,3328,2.18,5200,0.61,60.39
"Italy",2023,"Measles","Metabolic",9.91,7.39,6.56,"Child","Other",646182,69.84,4.56,7.83,"Medication",43166,"No",98.92,636,3.49,93775,0.62,39.32
"South Africa",2023,"Cancer","Parasitic",2.26,0.46,2.09,"Child","Male",936561,86.87,2.9,1.48,"Surgery",33974,"No",66.15,1647,8.68,73399,0.47,35.28
"Turkey",2024,"Leprosy","Autoimmune",15.96,9.79,3.24,"Young Adult","Male",270710,64.23,3.79,9.49,"Therapy",49989,"No",86.42,555,9.39,18366,0.85,42.78
"Italy",2023,"Zika","Parasitic",13.44,3.83,9.55,"Senior","Male",688039,90.87,0.68,9.42,"Vaccination",26309,"No",64.23,943,8.22,20679,0.53,89
"Saudi Arabia",2020,"Hypertension","Metabolic",2.87,10.13,1.43,"Adult","Male",181088,84.47,4.53,2.22,"Surgery",16587,"Yes",84.29,4791,6.48,10753,0.57,27.85
"Argentina",2022,"Cholera","Cardiovascular",3.01,5.12,3.12,"Child","Female",242802,51.41,1.29,7.77,"Vaccination",10917,"Yes",92.78,3009,2.18,72943,0.54,38.04
"Turkey",2020,"Zika","Viral",0.87,0.36,5.18,"Adult","Female",468167,89.94,0.78,9.01,"Vaccination",645,"Yes",86.51,3365,0.01,4900,0.71,73.44
"India",2022,"Leprosy","Respiratory",10.8,4.57,8.52,"Adult","Other",340090,72.64,2.24,7.98,"Surgery",47039,"Yes",94.03,2772,6.39,28080,0.46,58.33
"Canada",2024,"Hypertension","Neurological",8.94,3.79,8.37,"Senior","Other",784949,66.41,2.76,6.81,"Surgery",43904,"Yes",65.8,2399,6.32,51893,0.83,70.02
"France",2024,"Asthma","Respiratory",19.98,4.71,6.52,"Senior","Other",483230,75.22,3.48,7.81,"Medication",26739,"No",76.09,4119,7.1,73416,0.74,45.76
"UK",2024,"Hepatitis","Viral",9.61,13.58,9.71,"Child","Other",781759,58.89,1.89,3.8,"Therapy",47317,"Yes",82.63,4323,4.39,15647,0.86,53.75
"Indonesia",2024,"Tuberculosis","Autoimmune",14.82,8.35,6.61,"Child","Other",584097,64.9,0.56,1.98,"Surgery",4478,"Yes",54.32,4537,6.06,70707,0.84,89.98
"Italy",2022,"Hepatitis","Metabolic",7.07,13.72,0.44,"Child","Female",949259,84.31,2.23,7.92,"Therapy",20993,"No",83.23,478,8.72,51503,0.85,88.09
"South Africa",2023,"Hypertension","Respiratory",11.38,2.44,1.01,"Young Adult","Female",305573,79.58,4.93,9.58,"Vaccination",31055,"Yes",89.11,1702,9.96,96868,0.81,68.55
"South Korea",2023,"Cholera","Cardiovascular",15.56,14.61,1.48,"Adult","Female",56249,98.3,3.72,9.14,"Surgery",33686,"Yes",88.56,3492,9.81,14409,0.67,49.4
"Nigeria",2020,"Measles","Bacterial",10.8,1.74,1.83,"Senior","Other",937447,57.04,3.89,6.23,"Medication",21279,"No",82.37,688,9.6,26683,0.66,57.89
"Germany",2021,"Tuberculosis","Autoimmune",13.48,13.23,6.92,"Adult","Male",734071,85.8,1.75,0.67,"Therapy",21918,"No",75.98,510,5.36,98308,0.46,59.32
"Argentina",2022,"Asthma","Cardiovascular",19.67,7.37,8.18,"Adult","Other",834243,63.56,0.55,3.54,"Therapy",23409,"Yes",95.83,4340,0.91,21371,0.78,23.61
"France",2020,"Leprosy","Autoimmune",13.01,9.94,2.73,"Young Adult","Female",56311,73.14,4.82,8.64,"Vaccination",2429,"Yes",61.95,3973,0.28,30593,0.79,54.63
"South Africa",2021,"Leprosy","Respiratory",9.39,4.04,3.2,"Child","Other",897272,93.25,1.21,8.36,"Therapy",46129,"No",67.95,1506,9.49,33527,0.49,31.7
"Mexico",2023,"HIV/AIDS","Parasitic",4.52,5.93,5.02,"Senior","Male",489827,97.18,0.86,4.1,"Vaccination",29562,"No",76.63,2313,9.5,42933,0.67,73.65
"Nigeria",2023,"Leprosy","Autoimmune",0.98,4.7,6.47,"Adult","Other",950100,77.77,1.88,3.98,"Medication",810,"No",87.91,385,2.25,39631,0.78,60.93
"Indonesia",2024,"Malaria","Cardiovascular",11.11,1.77,3.6,"Adult","Other",815231,94.36,4.48,5.89,"Surgery",1989,"Yes",83.61,147,7.51,91472,0.7,30.15
"South Korea",2024,"Dengue","Cardiovascular",10.07,1.21,9.36,"Adult","Other",402145,50.26,3.5,7.7,"Therapy",11881,"No",76.3,1425,2.56,62375,0.59,80.42
"Australia",2021,"Cancer","Viral",8.06,4.68,7.87,"Young Adult","Male",227485,63.17,2.83,7.22,"Vaccination",11286,"Yes",57.22,4929,8.65,16648,0.66,87.53
"South Korea",2021,"Dengue","Cardiovascular",19.08,9.67,4.64,"Senior","Male",769512,71.52,4.3,3.59,"Surgery",10399,"Yes",71.2,454,6.03,56077,0.49,29.73
"Brazil",2023,"Leprosy","Cardiovascular",4.21,10.91,9.41,"Young Adult","Female",705766,53.77,3.53,4.63,"Therapy",26951.4545454545,"Yes",93.82,3684,5.57,97332,0.45,51.96
"Argentina",2022,"Ebola","Infectious",16.4,12.33,4.18,"Young Adult","Female",78862,69.32,4.35,7.7,"Medication",17267,"Yes",54.7,4886,8.04,80814,0.7,82.16
"Australia",2020,"Polio","Respiratory",6.4,1.43,0.83,"Child","Male",350710,85.33,1.19,3.34,"Medication",41847,"No",63.9,4648,5.97,84811,0.89,69.87
"France",2021,"Hepatitis","Respiratory",8.65,5.91,4.03,"Adult","Other",386727,75.0097594501718,3.36,3.97,"Vaccination",44833,"No",98.71,1089,1.84,51095,0.47,25.54
"South Korea",2020,"Alzheimer's Disease","Viral",13.5,12.57,5.65,"Young Adult","Female",335704,79.26,4.2,8.18,"Medication",9526,"Yes",68.36,4892,7.78,90509,0.88,30.97
"Indonesia",2022,"Ebola","Parasitic",18.61,5.37,9.44,"Senior","Female",178048,58.64,1.85,5.34,"Surgery",40618,"Yes",87.19,1487,5.59,2357,0.45,56.1
"Argentina",2024,"Tuberculosis","Infectious",17.66,2.63,7.11,"Adult","Female",477245,91.76,4.79,1.28,"Medication",28855,"No",76.55,171,6.87,2539,0.44,71.87
"Saudi Arabia",2023,"Ebola","Bacterial",0.67,8.2,4.655,"Child","Other",389361,99.14,0.73,7.37,"Surgery",46651,"Yes",61.89,3232,3.4,29952,0.51,28.85
"Russia",2022,"HIV/AIDS","Viral",5.28,2.91,3.98,"Child","Female",552369,79.65,0.98,4.23,"Therapy",31566,"No",78.13,1397,2.93,92710,0.46,58.65
"South Korea",2024,"COVID-19","Respiratory",9.63,1.07,7.99,"Young Adult","Female",409977,98.11,3.05,6.81,"Vaccination",23988,"Yes",85.4,4717,3.51,41700,0.68,53.95
"Germany",2022,"HIV/AIDS","Genetic",14.19,7.86,7.36,"Child","Female",573071,53.4,2.32,4.22,"Therapy",17009,"Yes",92,1094,3.86,35323,0.54,55.1747169811321
"India",2024,"Alzheimer's Disease","Viral",0.21,7.01,9,"Child","Other",740370,63.72,1.28,9.36,"Therapy",34825,"Yes",52.87,1963,8.5,90884,0.46,82.98
"Indonesia",2020,"Zika","Autoimmune",6.85,3.79,9.64,"Adult","Female",857355,73.49,3.57,1.1,"Medication",2934,"Yes",58.86,2808,2.71,88821,0.64,34.37
"Australia",2020,"Zika","Autoimmune",17.29,10.61,0.84,"Senior","Other",618679,55.53,1.67,5.63,"Therapy",27773,"No",73.13,547,9.4,95306,0.6,65.72
"Saudi Arabia",2022,"Cancer","Bacterial",11.22,6.85,3.83,"Child","Female",871859,73.98,4.14,4.46,"Therapy",34777,"No",94.98,965,3.66,27596,0.51,56.12
"South Africa",2024,"Zika","Viral",17.34,13.4,6.58,"Young Adult","Female",837374,80.86,1.04,5.44,"Medication",47226,"No",97.16,1404,1.95,16803,0.6,28.43
"Mexico",2022,"Cholera","Neurological",3.23,7.04,0.42,"Child","Male",330918,56.11,2.69766666666667,4.69,"Therapy",34721,"Yes",71.65,138,6.32,69187,0.5,29.87
"France",2020,"HIV/AIDS","Chronic",13.75,10.7,7.5,"Young Adult","Female",593496,92.92,2.46,4.73,"Medication",4912,"No",83.26,3330,7.27,92186,0.81,35.58
"Turkey",2024,"Zika","Autoimmune",17.42,4.87,6.48,"Senior","Male",333614,69.78,3.02,2.03,"Vaccination",13297,"Yes",69.75,1208,7.98,76109,0.89,29.37
"Canada",2022,"Diabetes","Infectious",8.68,9.84,1.16,"Senior","Male",403668,71.19,2.26,4,"Vaccination",30804,"Yes",97.15,1455,0.71,21265,0.68,70.49
"Japan",2020,"Diabetes","Chronic",3.75,12.01,5.89,"Senior","Male",327561,91.72,1.15,3.48,"Medication",31720,"Yes",60.16,2487,3.16,81786,0.46,49.62
"France",2023,"Tuberculosis","Autoimmune",17.7,13.06,1.84,"Young Adult","Other",968671,56.74,1.79,4.34,"Vaccination",6279,"No",54.72,1537,6.2,65379,0.9,22.87
"Italy",2020,"Hepatitis","Chronic",7.02,7.97,1.45,"Child","Female",21340,55.21,1.41,2.02,"Surgery",49925,"No",61.71,821,1.12,91805,0.52,25.98
"Mexico",2024,"Rabies","Metabolic",8.51,4.11,6.57,"Young Adult","Female",717169,80.43,1.37,2.47,"Vaccination",11152,"No",51.63,4712,6.77,83062,0.53,77.09
"Mexico",2024,"HIV/AIDS","Respiratory",1.64,7.21,0.52,"Adult","Other",891802,69.44,3.27,9.76,"Surgery",1764,"Yes",87,1005,3.59,4866,0.69,38.71
"Russia",2021,"Leprosy","Bacterial",7.92,11.59,7.3,"Young Adult","Other",593254,73.61,1.73,4.62,"Surgery",9062,"Yes",52.73,1795,3.5,45000,0.63,73.99
"Germany",2023,"Influenza","Infectious",17.1,7.8,8.68,"Adult","Male",4498,64.67,1.89,4.88,"Therapy",2539,"No",69.51,1661,6.02,99556,0.4,50.77
"Indonesia",2022,"Zika","Respiratory",6.7,11.72,9.39,"Child","Female",563256,63.75,1.54,9.66,"Medication",38577,"Yes",81.47,3865,8.64,70246,0.9,78.67
"Russia",2023,"Rabies","Cardiovascular",7.82,0.72,7.26,"Senior","Male",933395,99.7,2.52,6.91,"Vaccination",13090,"No",97.22,3444,6.58,99259,0.42,63.35
"Australia",2022,"Hepatitis","Genetic",13.62,7.4,5.15,"Senior","Female",825196,90.34,2.44,7.2,"Vaccination",49740,"Yes",73.53,4806,5.65,66552,0.86,87.71
"Indonesia",2023,"Parkinson's Disease","Chronic",17.92,8.36,3.82,"Senior","Female",841636,55.17,1.5,6.71,"Medication",10727,"Yes",75.78,292,1.1,89679,0.83,55.47
"France",2022,"Rabies","Viral",5.58,2.84,0.18,"Senior","Other",974161,55.69,3.44,7.34,"Vaccination",31554,"No",59.39,2138,7.89,64562,0.66,78.48
"Canada",2021,"Diabetes","Infectious",19.3,4.26,3.32,"Young Adult","Male",722312,87.72,2.33,1.13,"Vaccination",29513,"No",55.11,1508,4.84,21516,0.6,45.32
"Argentina",2024,"Polio","Autoimmune",15.71,6.86,2.37,"Senior","Female",498881,66,2.3,7.1,"Therapy",35874,"No",72.68,2511,1.77,23716,0.8,25.94
"Mexico",2021,"Asthma","Autoimmune",1.24,4.54,1.92,"Child","Female",354143,62.58,3.45,2.8,"Therapy",23608,"No",83.12,2880,1.76,72985,0.5,46.42
"India",2024,"Asthma","Metabolic",13.67,11.03,0.96,"Young Adult","Male",295674,95.78,1.26,4.09,"Vaccination",9942,"Yes",95.05,4824,3.56,504,0.52,89.41
"Japan",2020,"Dengue","Cardiovascular",7.77,1.08,3.23,"Young Adult","Male",178159,69.05,2.3055,6.85,"Vaccination",47104,"Yes",85.5,1051,0.84,80345,0.79,76.67
"Germany",2021,"Diabetes","Metabolic",10.23,4.45,8.39,"Young Adult","Male",965749,98.99,1.47,3.43,"Surgery",10763,"Yes",75.03,1427,7.03,45179,0.6,39.77
"Indonesia",2023,"HIV/AIDS","Genetic",17.24,11.5,2.67,"Child","Male",469190,70.69,0.72,9.88,"Vaccination",36833,"Yes",90.3,560,6.05,10563,0.87,22.59
"South Korea",2023,"Malaria","Autoimmune",15.63,12.99,2.66,"Senior","Other",638158,88.51,0.68,4.06,"Therapy",28339,"Yes",65.65,2689,3.16,29241,0.87,60.21
"Turkey",2023,"Dengue","Neurological",2.15,10.31,1.68,"Senior","Female",546473,83.3,4.87,5.03,"Medication",23337,"Yes",88.43,3558,4.16,8480,0.55,47.9570731707317
"South Africa",2021,"Diabetes","Parasitic",15.58,3.66,1.79,"Young Adult","Male",529975,54.18,0.74,1.06,"Vaccination",39283,"Yes",59.63,4059,9.96,45789,0.73,23.42
"Brazil",2020,"Cancer","Cardiovascular",14.34,13.52,1.48,"Senior","Male",972213,61.08,1.45,3.54,"Surgery",39796,"Yes",84.4,3022,1.34,4376,0.45,57.28
"South Africa",2022,"Ebola","Chronic",1.16,6.07,8.04,"Senior","Male",337450,68.12,4.13,0.91,"Surgery",7650,"No",61.83,4754,9.02,98203,0.55,30.45
"South Africa",2023,"Malaria","Metabolic",9.55,10.61,5.47,"Adult","Male",434792,85.28,2.24,3.55,"Surgery",22077,"No",67.7,3459,0.95,45732,0.45,52.4
"Canada",2020,"COVID-19","Metabolic",16.6,11.84,7.54,"Child","Other",492417,74.4,4.97,5.22235294117647,"Surgery",1,"No",68.28,4440,8.03,8288,0.84,81.64
"Australia",2021,"Asthma","Genetic",3.38,9.17,4.89,"Adult","Female",588237,73.32,1.74,5.1,"Therapy",43171,"No",60.08,3811,8.5,53926,0.74,57.14
"Russia",2020,"Leprosy","Viral",7.46,1.15,7.23,"Adult","Female",377371,55.99,0.9,7.76,"Therapy",35039,"No",73.58,1648,1.93,36035,0.79,77.06
"Saudi Arabia",2020,"Zika","Infectious",15.6,5.53,5.52,"Senior","Other",478956,85.92,3.16,7.13,"Medication",47347,"No",76.6,3928,5.88,39687,0.85,25.59
"Indonesia",2021,"Hypertension","Autoimmune",18.64,6.43,1.28,"Adult","Female",335402,59.9,3.89,1.33,"Medication",13162,"Yes",63.58,2860,1.51,26366,0.65,72.75
"Indonesia",2020,"Ebola","Neurological",18.84,6.55,0.71,"Senior","Other",320822,90,2.79,7.93,"Therapy",43123,"No",61.76,1894,1.55,15408,0.5,57.65
"UK",2024,"Hypertension","Genetic",12.82,9.18,6.56,"Senior","Male",901858,57.5,0.83,3.52,"Surgery",49094,"No",77.44,70,1.41,37320,0.63,52.15
"Nigeria",2022,"Tuberculosis","Autoimmune",4.71,4.16,9.83,"Child","Male",173409,72.31,1.85,4.47510204081633,"Medication",24730.6666666667,"Yes",98.66,4377,7.35,84014,0.59,32.89
"Mexico",2023,"Diabetes","Chronic",12.36,2.16,3.81,"Senior","Male",929124,92.12,2.14,7.41,"Therapy",21126,"Yes",84.92,4099,8.77,18026,0.68,39.38
"Indonesia",2020,"Diabetes","Parasitic",10.79,12.79,3.38,"Young Adult","Other",968382,55.84,0.53,0.72,"Therapy",30210,"No",76.02,3777,7.82,27739,0.68,62.91
"Canada",2023,"Zika","Infectious",7.89,14.01,6.09,"Child","Female",764093,90.07,4.97,4.29,"Medication",2996,"No",74.81,4393,5.29,18374,0.54,37.28
"Australia",2021,"Dengue","Respiratory",17.13,4.1,5.2,"Senior","Male",359475,74.61,3.58,1.4,"Vaccination",42208,"Yes",88.03,619,8.79,83988,0.44,46.93
"Germany",2021,"Influenza","Bacterial",4.16,2.63,5.83,"Young Adult","Female",689586,53.05,1.39,8.73,"Vaccination",30667,"Yes",68.39,109,3.16,9854,0.66,63.64
"Saudi Arabia",2020,"Parkinson's Disease","Respiratory",16.32,4.41,5.59,"Adult","Other",890227,89.8,3.26,6.08,"Surgery",42410,"Yes",75.22,4103,1.65,4035,0.86,64.51
"Argentina",2022,"Dengue","Chronic",7.23,12.72,7.54,"Senior","Female",513929,67.36,2.53,3.23,"Vaccination",36230,"No",54.07,4100,3.38,52853,0.76,82.84
"Brazil",2022,"Polio","Genetic",11.67,7.71,2.22,"Young Adult","Female",303654,83.83,2.84,4.62,"Medication",15585,"No",88.05,4961,0.41,96011,0.41,73.26
"Turkey",2020,"Cholera","Bacterial",0.41,8.99,6.24,"Senior","Male",273398,95.34,0.63,1.81,"Vaccination",30377,"Yes",78.6,1587,7.59,90691,0.63,47.93
"South Korea",2024,"Zika","Respiratory",11.09,4.94,8.79,"Child","Male",386924,82.12,4.15,2.31,"Therapy",152,"Yes",64.31,1843,3.93,63746,0.66,42.73
"Germany",2020,"Tuberculosis","Chronic",19.51,2.02,0.84,"Young Adult","Other",241094,98.62,3.99,6.69,"Vaccination",49965,"No",78.53,1245,4.54,18089,0.44,73.55
"Turkey",2022,"Parkinson's Disease","Bacterial",11.22,3.69,2.95,"Senior","Other",699102,53.57,4.42,5.91,"Surgery",1539,"No",54.58,4535,0.67,67242,0.56,34.74
"Turkey",2021,"Malaria","Parasitic",4.82,0.81,1.96,"Adult","Other",705377,82.32,0.75,1.93,"Therapy",27852,"Yes",75.9,620,7.48,61556,0.86,55.51
"Mexico",2021,"Rabies","Respiratory",8.08,15,1.7,"Senior","Other",782183,62.94,1.87,5.46,"Vaccination",14597,"No",86.21,1671,6.47,17416,0.44,39.12
"Japan",2021,"Measles","Metabolic",1.69,0.65,5.85,"Young Adult","Other",195616,76.2,4.67,4.18,"Vaccination",48736,"No",70.31,1093,2.38,75852,0.83,79.93
"Russia",2020,"Cholera","Viral",1.11,12.46,2.16,"Young Adult","Male",379282,74.4858984375,4.23,7.76,"Surgery",48314,"No",80.02,4009,4.47,61508,0.64,69.17
"Germany",2024,"Cancer","Metabolic",9.09,11.17,1.22,"Young Adult","Female",832568,64.96,4.65,6.29,"Surgery",31751,"Yes",50.77,386,5.33,46724,0.75,37.66
"Germany",2024,"Asthma","Autoimmune",2.69,5.73,6.9,"Young Adult","Female",998232,67.16,1.64,7.21,"Vaccination",11922,"No",58.92,4758,5.05,71496,0.51,76.27
"Canada",2020,"Cancer","Neurological",4.93,0.74,6.33,"Adult","Male",412109,67.21,1.5,2.97,"Therapy",22462,"Yes",65.3,693,2.67,80795,0.66,73.5
"Germany",2020,"Measles","Viral",15.62,5.88,2.61,"Child","Male",700352,98.65,3.94,2.12,"Therapy",33563,"Yes",94.03,2891,5.64,14123,0.64,50.8
"Mexico",2022,"Influenza","Respiratory",8.55,3.36,4.92,"Adult","Female",104475,60.14,4.76,3.9,"Surgery",38984,"Yes",52.07,2446,2.41,95498,0.77,55.18
"Germany",2022,"Diabetes","Chronic",14.81,0.64,9.86,"Adult","Female",679417,74.4015217391304,0.75,3.09,"Therapy",33004,"No",75.99,3068,1.34,74766,0.59,60.68
"Indonesia",2021,"Parkinson's Disease","Chronic",14.28,10.18,2.78,"Senior","Female",183602,76.34,2.52,0.88,"Surgery",33234,"No",54.26,2015,3.61,94528,0.65,32.14
"South Korea",2023,"Rabies","Metabolic",13.23,1.04,4.13,"Young Adult","Male",699467,85.21,2.64,6.21,"Medication",4187,"Yes",76.9,2738,9.11,58011,0.82,57.06
"Indonesia",2023,"HIV/AIDS","Neurological",9.13,12.06,0.75,"Adult","Female",539849,76.57,0.62,9.29,"Medication",8283,"No",84.18,2318,7.82,83047,0.77,65.38
"India",2023,"Rabies","Metabolic",2.35,14.34,8.84,"Adult","Male",963478,79.81,2.78,8.51,"Vaccination",26713,"Yes",76.36,2873,9.86,93154,0.52,54.8311320754717
"India",2023,"Diabetes","Cardiovascular",9.45,8.56,6.12,"Young Adult","Male",574497,50.43,3.36,6.18,"Surgery",10018,"No",51.28,893,4.14,37371,0.41,72.92
"South Africa",2024,"Hypertension","Respiratory",2.1,0.72,2.75,"Senior","Other",300433,74.56,1.12,4.76,"Surgery",40256,"No",57.52,4971,7.62,83500,0.46,36.31
"Brazil",2024,"Influenza","Neurological",15.48,11.93,4.1,"Adult","Other",774515,83.38,4.49,1.8,"Medication",1450,"Yes",59.14,1255,9.12,33367,0.72,66.51
"South Africa",2024,"Malaria","Neurological",14.11,6.65,7.71,"Senior","Female",848145,85.52,3.2,3.14,"Vaccination",20365,"No",64.6,944,6.1,99901,0.46,27.79
"Mexico",2023,"Leprosy","Metabolic",16.94,2.14,9.4,"Senior","Female",907625,87.7,3.66,3.57,"Surgery",30780,"No",83.22,2059,8.78,35724,0.78,41.32
"Russia",2021,"Diabetes","Parasitic",8.95,13.05,9.68,"Adult","Female",223340,51.28,3.22,6.26,"Surgery",10361,"Yes",93.28,3377,0.13,38459,0.69,25.23
"Russia",2020,"Leprosy","Bacterial",6.67,2.4,6.08,"Adult","Other",188753,50.11,4.36,1.87,"Therapy",34669,"No",63.84,889,3.07,58599,0.86,80.27
"Australia",2021,"Dengue","Respiratory",12.98,12.25,7.7,"Young Adult","Female",348230,65.77,4.5,3.35,"Vaccination",38232,"Yes",80.54,1516,1.74,68320,0.44,80.06
"Russia",2020,"Hypertension","Viral",2.16,0.55,6.1,"Child","Female",99574,72.71,4.47,9.28,"Surgery",21479,"No",63.49,4458,5.12,83237,0.75,37.61
"Russia",2024,"Cholera","Chronic",1.76,1.31,4.78,"Senior","Female",903261,51.95,1.71,9.01,"Medication",35058,"No",77.34,4115,0.91,78818,0.55,40.48
"Turkey",2020,"Cancer","Bacterial",8.62,13.27,9.05,"Young Adult","Female",544252,81.82,3.43,3.91,"Vaccination",33973,"No",95.65,1047,2.55,73979,0.6,59.98
"Italy",2020,"Malaria","Cardiovascular",5.81,2.63,7.17,"Senior","Male",747609,68.87,0.88,7.38,"Therapy",8524,"No",93.83,4708,5.97,22346,0.68,53.6898461538462
"UK",2021,"Cancer","Metabolic",14.37,4.59,4.74,"Child","Female",174412,56.36,4.8,1.11,"Therapy",46463,"No",92.51,276,0.96,83961,0.54,55.2
"South Korea",2021,"Leprosy","Cardiovascular",16.58,2.09,3.32,"Young Adult","Other",5730,78.13,2.88,4.72,"Vaccination",47664,"No",56.48,2652,6.49,46300,0.66,34.94
"Russia",2020,"Tuberculosis","Neurological",12.12,5.32,7.94,"Senior","Male",830755,74.4858984375,1.22,2.24,"Therapy",36989,"No",66.69,4583,5.57,37759,0.9,21.4
"Italy",2020,"Asthma","Neurological",6.36,4.99,4.22,"Child","Other",167191,73.74,0.58,6.91,"Surgery",48214,"No",70.56,2289,7.27,39671,0.84,72.56
"France",2023,"Cholera","Bacterial",9.08,12.89,0.69,"Young Adult","Other",741401,53.25,1.49,6.84,"Medication",10810,"Yes",82.45,3873,1.52,67616,0.74,76.22
"Indonesia",2020,"Measles","Parasitic",6.38,5.66,3.39,"Senior","Other",618378,75.93,3.49,7.73,"Vaccination",26826,"Yes",55.93,654,2.56,46815,0.82,34.29
"China",2020,"Alzheimer's Disease","Autoimmune",5.52,7.81,8.77,"Child","Male",935031,83.63,4.45,9.95,"Medication",35879,"Yes",65.9,2084,8.94,31892,0.64,46.79
"China",2022,"Asthma","Infectious",4.23,11.74,0.82,"Senior","Other",333344,57.91,1.94,8,"Vaccination",13975,"Yes",51.87,1938,9.14,11718,0.68,24.88
"China",2022,"Polio","Cardiovascular",4.52,5.1,2.3,"Young Adult","Female",370067,97.65,0.79,4.73,"Medication",46739,"Yes",79.31,799,3.58,72506,0.43,22.7
"Saudi Arabia",2021,"Rabies","Genetic",1.36,10.17,2.41,"Adult","Male",562916,60.31,3.26,7.12,"Therapy",25481,"No",53.59,662,1.32,881,0.46,79.36
"Italy",2022,"Hepatitis","Parasitic",16.93,9.83,6.68,"Adult","Female",35885,71.2,1.67,2,"Surgery",42790,"No",69.6,1699,7.29,83242,0.86,65.53
"Russia",2021,"Alzheimer's Disease","Autoimmune",12.05,6.68,1.87,"Young Adult","Female",479013,61.96,2.64,5.56490909090909,"Medication",33425,"No",53.99,2213,4.95,86571,0.61,58.35
"Turkey",2024,"Tuberculosis","Genetic",7.25,1.67,2.2,"Senior","Other",17819,52.54,0.56,6.41,"Therapy",41592,"Yes",87.4,2784,6.19,66152,0.79,42.84
