"country","disease_name","disease_category","age_group","gender","treatment_type","availability_of_vaccines_treatment","year","prevalence_rate","incidence_rate","mortality_rate","population_affected","healthcare_access","doctors_per_1000","hospital_beds_per_1000","average_treatment_cost_usd","recovery_rate","dal_ys","improvement_in_5_years","per_capita_income_usd","education_index","urbanization_rate"
"China","COVID-19","Cardiovascular","Child","Other","Vaccination","Yes",2022,3.58,5.58,4.61,184423,81.08,1.54,8.43,39326,61.48,3776,9.7,74034,0.55,47.92
"USA","Hypertension","Infectious","Young Adult","Other","Medication","No",2021,15.45,3.82,8.25,842549,88.47,2.22,5.92,18861,97.98,2783,0.21,91948,0.65,20.09
"Russia","Polio","Infectious","Child","Female","Medication","No",2023,8.79,6.89,1.77,896627,58.19,2.17,9.56,956,50.38,1544,3.88,79904,0.44,39.9
"USA","Malaria","Bacterial","Adult","Female","Vaccination","Yes",2021,13.22,6.3,7.84,257702,97.74,4.46,9.22,45174,54.67,4731,7.06,60324,0.74,34.53
"India","Malaria","Parasitic","Adult","Male","Surgery","Yes",2021,4.87,6.37,4.84,567909,66.95,0.68,3.89,4593,71.11,2867,1.66,73534,0.66,35.9
"China","Rabies","Respiratory","Child","Female","Medication","No",2022,6.66,13.26,6.75,80142,81.08,4.51,3.69,1620,86.2,2398,1.57,60361,0.5,59.02
"Argentina","Dengue","Neurological","Senior","Female","Medication","No",2023,8.5,12.52,4.43,631927,61.72,4.93,3.13,38545,84.13,4137,7.59,12594,0.88,43.19
"India","Zika","Parasitic","Senior","Female","Medication","Yes",2022,3.7,9.11,8.4,509820,82.46,1.51,2.95,35933,70.59,2777,9.16,48237,0.78,42.49
"USA","Alzheimer's Disease","Respiratory","Adult","Male","Therapy","Yes",2022,13.15,14.5,9.6,208204,72.69,4.94,2.49,30280.75,63.84,2969,6.66,40660,0.47,80.18
"Argentina","COVID-19","Genetic","Child","Female","Medication","No",2020,14.33,0.86,2.32,613052,61.36,2.54,7.74,15715,64.62,177,4.85,86638,0.86,71.55
"Argentina","Measles","Respiratory","Child","Female","Surgery","No",2024,3.1,7.84,6.58,74241,55.52,1.99,4.36,3845,71.44,4083,2.13,48124,0.56,27.75
"Nigeria","Measles","Autoimmune","Adult","Male","Surgery","No",2021,16.28,12.07,6.4,638607,50.37,1.8,4.17,24768,75.64,3433,0.08,67926,0.63,53.51
"South Africa","Rabies","Infectious","Young Adult","Female","Therapy","No",2020,10.94,14.5,1.71,801476,95.16,3.54,7.56,22542,88.52,1319,3.59,93632,0.89,21.76
"South Africa","Tuberculosis","Metabolic","Young Adult","Male","Therapy","Yes",2020,10.77,8.11,5.34,973850,83.51,0.7,2.61,9739,98.42,1498,5.62,14393,0.86,56.42
"South Africa","Ebola","Respiratory","Child","Female","Therapy","No",2020,13.06,7.71,8.86,116912,77.57,4.68,6.75,34016,54.38,1442,1.19,14067,0.76,28.65
"Nigeria","Dengue","Metabolic","Adult","Male","Medication","Yes",2020,12.57,10.12,8.97,231056,54.15,1.36,6.73,24029,97.4,823,6.81,18604,0.6,75.32
"China","Cancer","Genetic","Senior","Other","Surgery","Yes",2020,14.17,0.95,6.33,155341,53.96,2.81,1.41,21605,89.84,2744,2.64,83185,0.56,34.54
"UK","Leprosy","Viral","Senior","Female","Medication","No",2021,0.58,9.35,4.4,754555,75.26,1.59,3.05,37001,68.51,2491,7.79,84928,0.85,21.15
"Nigeria","Alzheimer's Disease","Infectious","Adult","Female","Medication","No",2022,1.64,0.64,6.41,713852,87.98,1.84,6.83,16796,95.94,3554,8.75,19085,0.61,29.46
"UK","Measles","Parasitic","Adult","Other","Medication","Yes",2021,4.73,7.78,1.46,397389,69.41,4.54,4.29,12206,78.48,709,5.94,32047,0.74,30.42
"China","Cancer","Cardiovascular","Child","Male","Surgery","Yes",2023,16.79,1.78,4.11,31869,77.98,3.22,2.53,19343,75.27,3580,7.39,79192,0.57,68.1
"Nigeria","Tuberculosis","Cardiovascular","Child","Male","Medication","No",2020,17.04,3.34,1.87,332296,80.11,0.71,6.23,47991,66.78,1150,5.22,89572,0.73,67.95
"Argentina","Ebola","Respiratory","Senior","Other","Therapy","Yes",2024,15.92,14.87,4.79,200793,61.47,1.24,8.06,14445,60.59,4626,3.33,38264,0.82,56.38
"Argentina","HIV/AIDS","Parasitic","Adult","Female","Vaccination","Yes",2020,0.22,1.22,6.25,255683,95.11,4.22,6.44,4892,88.25,4750,5.79,43767,0.59,67.63
"Russia","Parkinson's Disease","Autoimmune","Adult","Other","Medication","No",2020,14.78,10.89,9.05,902179,96.54,3.88,1.9,24318,62.17,2105,4.76,68411,0.46,23.2
"Nigeria","HIV/AIDS","Bacterial","Young Adult","Male","Therapy","No",2023,2.37,10.59,6.63,462403,95.21,3.14,9.69,15388,69.07,93,9.65,93286,0.48,28.99
"USA","Zika","Chronic","Senior","Other","Surgery","Yes",2020,6.55,6.89,6.55,347606,58.54,3.2,6.85,2123,65.42,1705,3.96,19486,0.67,47.48
"South Africa","Rabies","Parasitic","Adult","Male","Vaccination","Yes",2024,6.31,13.48,7.43,323304,51.42,3.38,6.87,8821,89.67,570,3.05,31602,0.48,67.1
"Nigeria","COVID-19","Genetic","Adult","Male","Medication","Yes",2022,19.09,7.68,3.04,596363,77.84,1.23,8.35,28790,73.83,804,9.87,70803,0.64,74.82
"China","HIV/AIDS","Bacterial","Young Adult","Other","Medication","Yes",2020,7.51,6.58,4.49,432264,72.69,4.84,2.8,36976,73.34,2489,2.5,18418,0.58,46.11
"Russia","Dengue","Bacterial","Senior","Female","Medication","Yes",2023,2.38,2.09,0.84,867036,79.42,3.54,4.42,183,73.26,4237,2.79,37042,0.72,85.51
"South Africa","Zika","Viral","Senior","Other","Vaccination","Yes",2022,4.54,11.3,4.72,374185,87.68,3.38,9.99,16756,85.26,3443,2.29,71562,0.85,20.99
"India","Parkinson's Disease","Neurological","Senior","Male","Surgery","No",2021,7.34,5.82,3.76,675154,51.59,3.96,2.65,28512,85.19,3377,8.98,82484,0.73,43.18
"UK","Asthma","Metabolic","Child","Male","Surgery","Yes",2024,19.45,14.85,4.73,140274,83.25,3.45,3.41,35966,87.15,3558,9.2,26555,0.66,43.97
"USA","Zika","Cardiovascular","Young Adult","Female","Vaccination","No",2023,8.37,8.24,8.78,70681,85.37,3.93,8.32,28830,85.38,3233,0.41,84748,0.49,77.09
"India","Zika","Respiratory","Young Adult","Female","Vaccination","No",2021,12.38,5.04,9.64,662983,91.7,4.8,8.08,22505,71.73,2044,7.86,90278,0.8,85.39
"South Africa","Tuberculosis","Chronic","Young Adult","Other","Medication","No",2024,3.92,2.85,9.66,572769,74.59,4.73,2.01,33500,73.57,665,2.56,28492,0.6,23.42
"Russia","Diabetes","Genetic","Adult","Male","Medication","No",2024,14.1,4.6,8.13,447732,57.46,4.28,6.67,10165,71.21,4233,3.99,55571,0.66,28.54
"Russia","Tuberculosis","Parasitic","Young Adult","Female","Vaccination","Yes",2024,7.24,13,0.34,835484,86.82,3.35,6.33,12499,62.22,1398,0.64,30802,0.58,57.99
"USA","Hypertension","Autoimmune","Senior","Male","Surgery","Yes",2020,15.76,14.72,9.11,937456,64.48,3.61,0.82,27213,75.47,3279,4.11,85013,0.82,67.99
"China","Zika","Parasitic","Young Adult","Other","Surgery","No",2024,9.78,6.78,1.21,357566,92.09,2.2,4.67,29395.67,87.42,418,9.3,89727,0.59,30.96
"UK","Asthma","Cardiovascular","Child","Female","Surgery","Yes",2024,11.33,12.83,8.14,200506,65.02,4.7,7.95,41214,52.6,3781,2.63,32263,0.73,61.44
"Argentina","Asthma","Bacterial","Young Adult","Other","Medication","Yes",2022,15.63,3.14,0.62,604525,59.5,2.4,5.69,23860,52.54,1393,3,33053,0.86,88.09
"China","Zika","Parasitic","Child","Female","Medication","No",2024,4.99,9.32,1.16,514372,85.59,1.64,1.61,17256,74.26,4547,0.21,68955,0.44,64.65
"UK","Malaria","Metabolic","Senior","Female","Therapy","Yes",2023,8.56,3.85,7.58,512825,84.08,2.32,6.62,48642,69.56,1257,1.41,32131,0.86,40.5
"India","Cancer","Genetic","Senior","Other","Vaccination","Yes",2021,9.38,13.35,6.71,675998,79.91,3.76,9.89,21419,64.51,3726,3.11,57778,0.8,31.71
"China","Hypertension","Respiratory","Adult","Male","Surgery","No",2020,7.85,13.88,8.25,950047,90.41,3.92,4.62,47564,60.95,4699,3.93,15403,0.53,71.21
"Nigeria","Cholera","Respiratory","Adult","Other","Surgery","Yes",2023,13.57,10.57,7.5,750885,68.83,1.6,5.34,7957,59.48,4605,9.02,68071,0.72,22.8
"Nigeria","Ebola","Chronic","Adult","Other","Medication","No",2021,13.07,6.02,6.38,179125,59.38,2.8,6.42,39465,54.63,4519,2.1,54870,0.76,32.86
"Russia","COVID-19","Bacterial","Child","Male","Medication","Yes",2024,5.36,14.69,4.46,187842,82.06,4.04,2.49,34582,68.36,4457,0.63,28666,0.51,55.89
"India","Alzheimer's Disease","Chronic","Senior","Other","Vaccination","Yes",2023,9.87,3.4,0.84,613854,87.37,3.9,1.3,41903,82.98,3131,6.1,86522,0.76,62.76
"South Africa","Hepatitis","Viral","Senior","Other","Medication","No",2021,8.98,14.88,0.14,299053,83.33,2.76,7.82,21521,77.38,4042,4.41,51856,0.66,68.93
"Argentina","Measles","Parasitic","Adult","Other","Vaccination","No",2022,16.28,5.15,6.31,192395,73.09,1.71,4.5,41798,61.92,2020,7.23,91111,0.87,73.07
"China","COVID-19","Respiratory","Adult","Female","Vaccination","No",2024,1.98,0.54,3.33,540129,68.04,3.94,3.04,12062,85.72,1156,9.22,47521,0.87,21.76
"South Africa","Cholera","Parasitic","Adult","Male","Surgery","No",2024,17.11,6.39,1.08,213081,89.27,4.31,8.64,43367,77.26,1661,8.41,42343,0.53,53.41
"UK","Hypertension","Neurological","Adult","Other","Surgery","No",2023,1.65,14.36,9.12,506089,64.96,2.43,8.52,19121,52.44,1713,3.97,85890,0.43,80.92
"UK","Zika","Cardiovascular","Young Adult","Other","Surgery","No",2021,15.9,14.55,2.48,758610,80.2,4.03,6.04,29539,76.24,4357,2.66,10538,0.51,69.79
"USA","Asthma","Metabolic","Adult","Other","Medication","Yes",2020,10.18,3.35,5.81,901998,52.34,4.3,7.48,32983,66.22,1135,3.32,92209,0.59,23.62
"South Africa","Cancer","Autoimmune","Adult","Other","Medication","No",2020,11.43,11.05,3.25,603571,83,3.98,1.55,26312,80.64,3631,9.25,77978,0.89,61.3
"South Africa","Diabetes","Metabolic","Young Adult","Other","Medication","Yes",2022,2.08,3.39,3.34,999430,67.31,4.97,5.18,17218,74.6,2220,7.47,75942,0.88,55.54
"China","Measles","Neurological","Adult","Female","Medication","No",2022,6.11,3.31,9.06,30343,75.65,4.51,1.75,38849,83.14,641,4.62,80582,0.4,86.57
"India","Measles","Bacterial","Child","Other","Therapy","Yes",2023,16.91,5.51,2.35,950437,74.24,4.23,5.81,9663,60.99,616,1.86,93483,0.43,64.35
"India","Measles","Bacterial","Adult","Female","Medication","Yes",2024,19.3,3.39,9.6,327000,69.66,3.41,4.31,45315,90.22,4981,7.45,43407,0.51,76.54
"Russia","Ebola","Cardiovascular","Child","Other","Therapy","No",2023,11.48,9.4,2.67,699629,56.57,3.03,5.46,48415,81.46,4786,0.96,97912,0.73,39.8
"USA","Measles","Respiratory","Young Adult","Female","Vaccination","Yes",2024,10.55,7.48,7.61,877128,67.38,4.54,9.02,27234,86.91,223,5.09,82145,0.56,59.96
"India","Cholera","Neurological","Child","Other","Surgery","Yes",2024,0.42,3.91,8.39,232108,57.86,2.07,6.17,22878,74.73,4187,8.05,98693,0.8,46.21
"Russia","Hepatitis","Infectious","Child","Other","Medication","Yes",2021,8.78,4.9,1.19,785675,66.44,2.83,2.51,43959,56.38,4825,8.44,29916,0.58,50.86
"India","Zika","Genetic","Senior","Female","Surgery","Yes",2023,17.33,12.77,5.43,686604,57.97,2.11,1.38,37219,59.19,1424,3.77,67793,0.42,30.61
"Nigeria","Malaria","Chronic","Young Adult","Male","Therapy","No",2022,9.74,7.82,5.79,338320,59.77,1.92,8.27,12748,71.41,1431,4.35,79756,0.57,55.4
"Nigeria","Rabies","Chronic","Senior","Other","Therapy","Yes",2020,1.06,9.34,1.47,27530,92.49,3.45,0.92,28262,66.59,4425,9.12,4971,0.49,78.3
"USA","Ebola","Viral","Senior","Female","Vaccination","No",2022,9.09,12.86,6.25,107517,54.83,3.58,8.47,18517,60.38,785,2.23,34281,0.86,88.27
"Argentina","Cholera","Autoimmune","Adult","Other","Surgery","No",2022,10.15,3.11,7.95,405639,73.67,2.5,6.44,25943,70.13,4182,5.6,7050,0.78,36.05
"UK","Rabies","Neurological","Senior","Male","Vaccination","Yes",2023,6.47,14.85,8.26,524236,58.17,4.67,9.82,16861,61.32,38,1.95,24024,0.49,73.72
"Russia","Influenza","Metabolic","Young Adult","Other","Medication","No",2021,0.27,13.28,1.4,841890,70.56,3.39,9.39,49990,81.48,1104,1.52,6386,0.83,58.16
"Russia","Diabetes","Neurological","Child","Male","Medication","No",2020,10.09,1.39,4.51,197827,86.49,2.91,6.74,19994.67,55.19,4399,8.24,68813,0.68,32.64
"Argentina","Hepatitis","Cardiovascular","Senior","Male","Medication","Yes",2020,5.23,0.34,0.23,455719,76.92,0.63,7.91,10438,88.66,835,4.39,79599,0.6,79.16
"Argentina","COVID-19","Genetic","Child","Male","Vaccination","Yes",2024,8.2,9.81,2.72,619561,92.89,2.05,9.54,3767,67.84,2110,8.52,17066,0.54,65.46
"China","Malaria","Viral","Young Adult","Other","Vaccination","Yes",2021,8.84,11.56,9.62,254552,68.85,2.47,7.6,48961,72.26,3943,8.35,94652,0.72,84.57
"Russia","Cancer","Parasitic","Adult","Male","Medication","No",2024,11.31,4.83,6.93,243479,79.18,3.06,3.95,20502.33,94.39,4345,7.91,80403,0.74,65.66
"South Africa","Diabetes","Viral","Senior","Male","Vaccination","Yes",2024,5.73,9.78,7.74,501686,89.52,3.37,7.98,20495,92.26,673,6.71,25997,0.7,21.72
"Nigeria","Hepatitis","Bacterial","Senior","Male","Therapy","No",2023,19.66,6.22,4.75,747766,87.23,2.16,5.95,32792,55.29,4893,0.61,38178,0.49,49.96
"South Africa","Diabetes","Neurological","Adult","Male","Vaccination","Yes",2024,12.66,2.62,4.96,861956,65.09,1.99,7.53,20264,97.12,4518,6.68,45777,0.47,47.13
"India","Malaria","Infectious","Adult","Other","Therapy","Yes",2020,0.55,14.46,1.95,47928,91.64,3.94,1.99,44858,85.24,710,6.47,31257,0.49,70.71
"Nigeria","Dengue","Viral","Adult","Other","Surgery","No",2021,3.24,9.96,10,817662,89.03,1.24,7.94,2234,89.09,3940,2.31,74808,0.79,76.72
"UK","Cholera","Cardiovascular","Adult","Male","Vaccination","Yes",2020,15.32,9.63,5.3,392980,71.66,4.03,4.71,44304,86.66,2848,8.46,66336,0.51,74.71
"China","Parkinson's Disease","Neurological","Adult","Other","Medication","No",2021,4.77,4.6,2.98,670360,81.74,2.73,8.4,39659,59.49,1085,8.97,83672,0.83,24.87
"India","Parkinson's Disease","Viral","Senior","Female","Surgery","Yes",2024,13.76,1,4.93,412261,75.49,3.06,7.8,34632,69.75,1460,8.4,93464,0.87,29.98
"China","Asthma","Autoimmune","Young Adult","Male","Surgery","Yes",2022,2.89,5.07,7.87,212490,69.52,4.84,8.74,15507,67.36,1028,9.95,44692,0.58,43.73
"India","Zika","Autoimmune","Adult","Male","Medication","Yes",2021,6.16,9.98,5.64,485399,81.77,1.39,5.75,879,54.7,2884,7.71,44964,0.68,27.36
"Nigeria","Ebola","Viral","Young Adult","Other","Therapy","No",2022,13.8,13.65,8.55,746903,95.89,1.74,4.63,18599,78.31,2346,1.24,34449,0.6,44.85
"India","Influenza","Autoimmune","Child","Other","Surgery","No",2022,9.77,1.99,8.12,959410,78.96,3.92,2.65,19937,67.38,441,9.01,84565,0.47,64.61
"China","Leprosy","Neurological","Senior","Male","Surgery","Yes",2021,6.01,3.58,7.63,124709,77.48,1.65,1.02,19535,91.53,3053,5.5,30882,0.65,33.62
"UK","Polio","Infectious","Young Adult","Other","Medication","No",2023,7.97,1.53,6.98,142666,56.77,4.4,6.56,33456,68.04,2181,3.52,35516,0.74,39
"India","Polio","Respiratory","Adult","Other","Medication","Yes",2024,18.28,5.03,3.97,539418,96.65,1.9,5.62,35899,77.18,82,8.97,48758,0.72,26.61
"Nigeria","Leprosy","Viral","Senior","Other","Medication","Yes",2024,18.57,5.7,3.9,251345,73.93,4.5,2.48,44886,61.7,2038,0.49,64984,0.64,84.79
"UK","COVID-19","Respiratory","Young Adult","Male","Vaccination","No",2024,16.76,5.95,0.28,62533,74.91,2.77,5.11,6106,55.31,1895,3.28,62979,0.64,89.59
"South Africa","Ebola","Neurological","Child","Female","Surgery","No",2020,8.04,14.07,9.87,90443,98.38,3.69,1.21,7422,55.16,284,0.39,93235,0.55,83.06
"UK","Tuberculosis","Respiratory","Child","Female","Medication","Yes",2022,15.87,10.83,7.38,436881,71.07,1.81,2.12,30115,77.09,1007,8.28,36415,0.49,44.25
"USA","Hepatitis","Autoimmune","Child","Female","Medication","Yes",2024,20,3.88,5.56,687633,94.85,1.76,7.3,15962,76.05,2394,1.02,61837,0.44,22.6
"Russia","Hepatitis","Viral","Senior","Other","Surgery","Yes",2024,10.86,13.3,4.3,785340,99.08,3.52,7.81,18582,69.95,3055,6.18,48607,0.75,69.66
"South Africa","Asthma","Autoimmune","Adult","Other","Vaccination","No",2024,11,2.02,4.78,213235,56.35,0.67,6.16,8072,94.9,3350,4.51,68434,0.8,61.52
"Russia","Ebola","Bacterial","Young Adult","Female","Surgery","No",2023,18.4,9.3,5.26,665325,75.07,3.36,2.32,3797,98.87,1122,0.17,39690,0.57,80.25
"India","Parkinson's Disease","Genetic","Adult","Female","Therapy","No",2022,3.2,2.53,6.99,347831,99.52,2.1,4.54,28970,84.31,800,7.86,37959,0.6,24.02
"USA","Alzheimer's Disease","Respiratory","Young Adult","Other","Surgery","Yes",2023,17.73,8.26,1.89,224828,57.06,1.06,3.72,9248,97.54,3549,2.25,87186,0.62,85.54
"India","Cholera","Chronic","Senior","Male","Therapy","Yes",2024,2.51,7.24,9.15,547448,65.14,2.48,5.9,7363,65.25,460,2.24,22806,0.68,84.96
"Nigeria","Polio","Chronic","Adult","Female","Vaccination","No",2020,2.07,7.31,7.93,870665,95.87,2.58,9.65,36098,76.46,619,0.78,83460,0.55,75.68
"South Africa","Zika","Respiratory","Adult","Male","Therapy","Yes",2022,4.24,6.1,4.76,33623,90.3,2.3,5.13,49007,88.86,3123,0.11,77401,0.85,83.82
"UK","Influenza","Parasitic","Child","Female","Therapy","No",2020,4.64,12.43,5.04,693003,55.9,3.52,3.4,7746,59.4,1466,4.53,87726,0.56,24.23
"China","Hypertension","Viral","Adult","Male","Therapy","No",2022,19.64,11.44,0.14,173445,50.03,3.05,5.78,28669,55.88,3197,0.25,91213,0.45,32.94
"Russia","Ebola","Parasitic","Young Adult","Other","Vaccination","No",2023,1.12,4.18,8.39,173875,55.05,3.7,8.29,2436,81.01,1601,4.14,98948,0.8,78.61
"Russia","Ebola","Chronic","Adult","Female","Medication","Yes",2024,6.47,7.52,9.2,133233,77.72,4.51,5.17,36373,76.75,2431,8.66,65555,0.43,24.62
"Nigeria","Parkinson's Disease","Bacterial","Senior","Female","Surgery","Yes",2024,9.8,11.96,0.34,250183,95,4.22,9.65,43982,87,2663,0.48,61732,0.57,38.49
"UK","Cancer","Metabolic","Adult","Male","Surgery","No",2021,2.2,12.83,6.99,832476,76.74,2.92,8.73,3620,80.62,3586,4.34,973,0.69,41.77
"South Africa","Hepatitis","Autoimmune","Senior","Other","Therapy","Yes",2020,10.63,8.24,2.93,701119,93.73,2.76,6.4,41579,72.84,649,0.11,42089,0.63,46.06
"South Africa","Cancer","Respiratory","Senior","Male","Medication","No",2024,4.01,8.01,2.36,121891,50.02,3.22,9.38,22571,86.73,2050,2.26,24672,0.65,53.35
"USA","Zika","Cardiovascular","Adult","Female","Medication","No",2021,10,2.65,2.69,484734,95.41,3.49,5.53,8771,75.13,809,3.33,54116,0.48,33.35
"Nigeria","Leprosy","Respiratory","Young Adult","Female","Medication","No",2022,4.77,5.35,9.73,609465,64.09,1.12,4.03,26239,89.07,4526,1.71,77310,0.57,29.23
"India","Alzheimer's Disease","Parasitic","Adult","Female","Surgery","No",2021,1.36,9.62,4.19,579663,52.01,2.27,2.27,28519,88.29,4476,6.75,32782,0.51,63.22
"India","Diabetes","Bacterial","Young Adult","Other","Vaccination","Yes",2023,17.52,3.73,1.45,140283,89.08,1.85,9.9,42153,70.57,4942,6.28,7462,0.54,43.33
"Argentina","Ebola","Respiratory","Senior","Other","Medication","No",2022,8.95,10.8,2.9,105828,90.62,4.29,7.86,22135,78.58,1925,2.79,95556,0.83,30.91
"UK","Rabies","Autoimmune","Senior","Male","Medication","Yes",2024,14.69,12.62,0.29,250968,96.57,4.69,1.48,7082,71.33,3639,5.31,32092,0.79,32.64
"Argentina","Ebola","Chronic","Adult","Other","Medication","Yes",2023,5.6,11.94,6.61,96219,51.64,3.26,6.58,41451,73.67,1062,8.51,97325,0.56,35.17
"India","Polio","Genetic","Child","Male","Medication","Yes",2020,13.92,0.69,3,415269,81.55,3.64,4.9,49195,87.63,3137,3.82,77294,0.89,83.72
"Russia","Dengue","Genetic","Child","Other","Therapy","No",2021,12.27,3.68,4.02,299609,75.07,1.98,8.16,44838,80.11,2151,4.84,55693,0.88,39.41
"UK","Alzheimer's Disease","Viral","Young Adult","Other","Medication","Yes",2024,18.96,14.45,0.97,981002,87.48,1.02,6.97,7816,70.01,3002,4.66,27174,0.84,83.8
"Nigeria","Cholera","Genetic","Child","Other","Vaccination","Yes",2023,13.88,3.97,3.45,735596,76.68,1.77,5.78,16813,87.73,1673,6.64,59938,0.82,22.82
"China","Asthma","Viral","Young Adult","Female","Vaccination","Yes",2020,17.41,13.58,8.82,889005,71.6,4.09,5.3,16647,92.89,2162,8.72,58885,0.77,39.88
"South Africa","Leprosy","Chronic","Child","Male","Therapy","Yes",2021,8.79,12.8,2.42,422985,62.28,1.88,4.64,32805,84.9,1907,7.96,11116,0.4,80.1
"Russia","Measles","Viral","Adult","Female","Surgery","Yes",2021,13.9,11.8,4.12,247163,74.69,3.95,6.75,15169,90.31,713,0.61,10309,0.76,80.65
"Argentina","Parkinson's Disease","Genetic","Adult","Other","Vaccination","No",2020,3.91,9.9,9.67,147496,51.59,3.17,1.18,8262,71.79,1548,8.04,42055,0.44,32.05
"UK","Tuberculosis","Metabolic","Senior","Male","Vaccination","Yes",2022,10.21,6.47,2.3,658441,97.11,2.34,4.93,29468,78.56,1773,6.77,75368,0.61,50.34
"Argentina","Tuberculosis","Genetic","Adult","Female","Vaccination","No",2024,1.35,10.64,4.86,969037,69.01,3.27,1.62,45741,62.26,967,3.71,41620,0.7,35.73
"South Africa","Hypertension","Chronic","Senior","Male","Therapy","Yes",2023,7.7,13.53,3.03,661037,99.58,2.88,3.72,20942,87.09,2525,7,75581,0.82,63.21
"Argentina","Alzheimer's Disease","Parasitic","Child","Female","Surgery","No",2024,14.94,14.15,3.7,765754,83.57,2.96,8.4,18168,82.04,267,4.33,99086,0.59,48.36
"South Africa","Parkinson's Disease","Infectious","Adult","Female","Therapy","No",2022,16.09,9.47,5.84,446432,98.86,2.33,2.89,24179,62.13,3735,7.83,67145,0.71,79.08
"China","Influenza","Infectious","Child","Other","Vaccination","Yes",2022,0.55,4.87,2.2,8821,75.36,4.91,1.13,36900,93.46,3219,3.03,46319,0.64,78.8
"Russia","Ebola","Parasitic","Child","Other","Therapy","Yes",2020,11.53,7.94,5.87,24046,97.57,4.06,9,30986,50.97,638,9.09,22074,0.64,32.3
"Argentina","Rabies","Metabolic","Senior","Male","Therapy","No",2024,0.33,3.11,2.49,496324,73.1,1.99,2.1,43319,88.98,3466,8.25,74295,0.69,82.83
"Argentina","Asthma","Infectious","Young Adult","Male","Surgery","Yes",2023,9.93,14,1.7,106666,65.72,4.16,0.53,46056,77.49,1434,8.19,15114,0.7,46.72
"UK","Rabies","Metabolic","Senior","Male","Medication","Yes",2020,18.22,11.47,1.35,252705,99.11,4.74,3.13,33059,82.64,1873,2.84,76031,0.4,60.38
"China","Cholera","Respiratory","Adult","Female","Surgery","Yes",2020,6.19,3.85,1.21,181628,83.68,2.36,6.7,44829,62.04,3860,1.66,70871,0.46,54.51
"China","Dengue","Cardiovascular","Adult","Other","Therapy","No",2024,1.51,4.66,7.44,79065,64.31,3.61,9.73,47816,89.93,2873,8.02,36497,0.87,26.05
"Nigeria","HIV/AIDS","Autoimmune","Adult","Female","Vaccination","Yes",2022,14.45,7.18,2.93,597756,76.26,4.67,2.3,16985,75.58,4793,6.91,7742,0.76,29.59
"UK","Diabetes","Autoimmune","Young Adult","Female","Therapy","No",2021,6.04,13.23,8.36,355041,78.93,4.24,9.12,48430,91.33,2363,9.28,6337,0.81,55.94
"UK","Ebola","Bacterial","Child","Female","Therapy","Yes",2023,14.54,6.56,6.79,122603,64.97,3.6,8.61,17570,58.61,211,3.09,34413,0.65,21.48
"India","Zika","Neurological","Young Adult","Female","Vaccination","Yes",2024,7.78,5.11,3.01,582138,61.6,2.63,3.28,8042,61.76,3148,0.53,1290,0.63,75.6
"USA","Measles","Genetic","Senior","Male","Surgery","Yes",2021,11.77,9.91,3.27,44979,92.29,4.97,0.88,49468,54.52,1565,8.41,22160,0.74,87.4
"China","COVID-19","Autoimmune","Young Adult","Other","Medication","Yes",2022,19.34,5.62,0.61,972903,91.6,2.33,2.52,31852,71.68,4831,7.8,16329,0.82,32.83
"India","Asthma","Neurological","Young Adult","Male","Therapy","Yes",2021,0.75,2.68,3.47,460829,69.49,3.57,4.19,36076,51.04,3577,5.76,46705,0.73,47.12
"India","Hypertension","Autoimmune","Adult","Other","Medication","Yes",2022,8.64,10.98,6.1,318996,62.63,4.79,1.23,33713,82.43,1176,8.17,26377,0.78,79.01
"China","Ebola","Infectious","Child","Male","Medication","Yes",2023,1.96,3.75,5.06,672795,66.38,2.47,8.81,21360,58.72,4573,1.96,98702,0.67,81.91
"South Africa","Polio","Chronic","Senior","Female","Medication","Yes",2022,6.72,4.65,3.93,234912,59.71,2.12,4.12,49866,66.48,1046,6.83,63414,0.45,23.1
"USA","Rabies","Cardiovascular","Young Adult","Male","Surgery","Yes",2022,12.5,6.55,1.15,890039,63.26,3.72,9.89,15230,89.96,3517,1.47,51355,0.46,27.18
"South Africa","HIV/AIDS","Cardiovascular","Young Adult","Other","Vaccination","No",2024,1.86,8.9,1.7,166844,75.02,3.72,8.97,14994,56.4,1936,6.13,32890,0.73,27.39
"UK","Dengue","Genetic","Child","Female","Medication","Yes",2022,17.11,13.45,4.23,110496,99.75,0.98,2.87,46998,87.28,3460,2.23,18107,0.46,27.86
"Argentina","Malaria","Chronic","Young Adult","Other","Surgery","No",2021,19.85,3.44,5.43,4590,91.79,1.42,6.04,47294,97.24,3853,1.14,49735,0.71,66.77
"South Africa","Diabetes","Autoimmune","Senior","Female","Surgery","Yes",2021,16.98,4.52,3.83,288688,79.65,1.63,7.56,8402,63.19,4272,5.74,52008,0.72,52.23
"Russia","COVID-19","Respiratory","Adult","Female","Therapy","Yes",2024,13.89,6.26,6.77,455524,99.04,1.41,9.92,8009,62.51,3034,7.45,99534,0.44,23.62
"Argentina","COVID-19","Respiratory","Senior","Other","Therapy","Yes",2021,10.5,12.59,6,215434,51.99,2.77,6.51,30498,69.43,3062,8.14,40284,0.74,48.62
"India","Hypertension","Cardiovascular","Young Adult","Other","Surgery","Yes",2023,19.98,13.84,3.06,723089,92.95,2.59,6.25,28003,72.56,1963,0.65,51434,0.42,87.23
