Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Argentina,2024,COVID-19,Genetic,8.2,9.81,2.72,0-18,Male,619561,92.89,2.05,9.54,Vaccination,3767.0,Yes,67.84,2110,8.52,17066.0,0.54,65.46
China,2021,Malaria,,,11.56,9.62,19-35,Other,254552,68.85,2.47,7.6,Vaccination,48961.0,Yes,72.26,3943,8.35,94652.0,0.72,84.57
Russia,2024,Cancer,Parasitic,11.31,4.83,6.93,36-60,Male,243479,79.18,3.06,3.95,Medication,,No,94.39,4345,7.91,80403.0,0.74,65.66
South Africa,2024,Diabetes,Viral,5.73,9.78,7.74,61+,Male,501686,89.52,3.37,7.98,Vaccination,20495.0,Yes,92.26,673,6.71,25997.0,0.7,21.72
Nigeria,2023,Hepatitis,Bacterial,19.66,6.22,4.75,61+,Male,747766,87.23,2.16,5.95,Therapy,32792.0,No,55.29,4893,0.61,38178.0,0.49,49.96
South Africa,2024,Diabetes,Neurological,12.66,2.62,4.96,36-60,Male,861956,65.09,1.99,7.53,Vaccination,20264.0,Yes,97.12,4518,6.68,45777.0,0.47,47.13
India,2020,Malaria,Infectious,0.55,14.46,1.95,36-60,Other,47928,91.64,3.94,1.99,Therapy,44858.0,Yes,85.24,710,6.47,31257.0,0.49,70.71
Nigeria,2021,Dengue,Viral,3.24,9.96,10.0,36-60,Other,817662,89.03,1.24,7.94,Surgery,2234.0,No,89.09,3940,2.31,74808.0,0.79,76.72
UK,2020,Cholera,Cardiovascular,15.32,9.63,5.3,36-60,Male,392980,71.66,4.03,4.71,Vaccination,44304.0,Yes,86.66,2848,8.46,66336.0,0.51,74.71
China,2021,Parkinson's Disease,Neurological,4.77,4.6,2.98,36-60,Other,670360,81.74,2.73,8.4,Medication,39659.0,No,59.49,1085,8.97,83672.0,0.83,24.87
India,2024,Parkinson's Disease,Viral,13.76,1.0,4.93,61+,Female,412261,,3.06,7.8,Surgery,34632.0,Yes,69.75,1460,8.4,93464.0,0.87,29.98
China,2022,Asthma,Autoimmune,2.89,5.07,7.87,19-35,Male,212490,69.52,4.84,8.74,Surgery,15507.0,Yes,67.36,1028,9.95,44692.0,0.58,43.73
India,2021,Zika,Autoimmune,6.16,9.98,5.64,36-60,Male,485399,81.77,1.39,5.75,Medication,879.0,Yes,54.7,2884,7.71,44964.0,0.68,27.36
Nigeria,2022,Ebola,Viral,13.8,13.65,8.55,19-35,Other,746903,95.89,1.74,4.63,Therapy,18599.0,No,78.31,2346,1.24,34449.0,0.6,44.85
India,2022,Influenza,Autoimmune,9.77,1.99,8.12,0-18,Other,959410,78.96,3.92,2.65,Surgery,19937.0,No,67.38,441,9.01,84565.0,0.47,64.61
China,2021,Leprosy,Neurological,6.01,3.58,7.63,61+,Male,124709,77.48,1.65,1.02,Surgery,19535.0,Yes,91.53,3053,5.5,30882.0,0.65,33.62
UK,2023,Polio,Infectious,7.97,1.53,6.98,19-35,Other,142666,56.77,4.4,6.56,Medication,33456.0,No,68.04,2181,3.52,35516.0,0.74,39.0
India,2024,Polio,Respiratory,18.28,5.03,3.97,36-60,Other,539418,96.65,1.9,5.62,Medication,35899.0,Yes,77.18,82,8.97,48758.0,0.72,26.61
Nigeria,2024,Leprosy,Viral,18.57,5.7,3.9,61+,Other,251345,73.93,4.5,2.48,Medication,44886.0,Yes,61.7,2038,0.49,64984.0,0.64,84.79
UK,2024,COVID-19,Respiratory,16.76,5.95,0.28,19-35,Male,62533,,2.77,5.11,Vaccination,6106.0,No,55.31,1895,3.28,62979.0,0.64,89.59
South Africa,2020,Ebola,Neurological,8.04,14.07,9.87,0-18,Female,90443,98.38,3.69,1.21,Surgery,7422.0,No,55.16,284,0.39,93235.0,0.55,83.06
UK,2022,Tuberculosis,Respiratory,15.87,10.83,7.38,0-18,Female,436881,71.07,1.81,2.12,Medication,30115.0,Yes,77.09,1007,8.28,36415.0,0.49,44.25
USA,2024,Hepatitis,Autoimmune,20.0,3.88,5.56,0-18,Female,687633,94.85,1.76,7.3,Medication,15962.0,Yes,76.05,2394,1.02,61837.0,0.44,22.6
Russia,2024,Hepatitis,Viral,10.86,13.3,,61+,Other,785340,99.08,3.52,7.81,Surgery,18582.0,Yes,69.95,3055,6.18,48607.0,0.75,69.66
South Africa,2024,Asthma,Autoimmune,11.0,2.02,4.78,36-60,Other,213235,56.35,0.67,6.16,Vaccination,8072.0,No,94.9,3350,4.51,68434.0,0.8,61.52
Russia,2023,Ebola,Bacterial,18.4,9.3,5.26,19-35,Female,665325,,3.36,2.32,Surgery,3797.0,No,98.87,1122,0.17,39690.0,0.57,80.25
India,2022,Parkinson's Disease,Genetic,3.2,2.53,6.99,36-60,Female,347831,99.52,2.1,4.54,Therapy,28970.0,No,84.31,800,7.86,37959.0,0.6,24.02
USA,2023,Alzheimer's Disease,Respiratory,17.73,8.26,1.89,19-35,Other,224828,57.06,1.06,3.72,Surgery,9248.0,Yes,97.54,3549,2.25,87186.0,0.62,85.54
India,2024,Cholera,Chronic,2.51,7.24,9.15,61+,Male,547448,65.14,2.48,5.9,Therapy,7363.0,Yes,65.25,460,2.24,22806.0,0.68,84.96
Nigeria,2020,Polio,Chronic,2.07,7.31,7.93,36-60,Female,870665,95.87,,9.65,Vaccination,36098.0,No,76.46,619,0.78,83460.0,0.55,75.68
South Africa,2022,Zika,Respiratory,4.24,6.1,,36-60,Male,33623,90.3,2.3,,Therapy,49007.0,Yes,88.86,3123,0.11,77401.0,0.85,83.82
UK,2020,Influenza,Parasitic,4.64,12.43,5.04,0-18,Female,693003,55.9,3.52,3.4,Therapy,7746.0,No,59.4,1466,4.53,87726.0,0.56,24.23
China,2022,Hypertension,Viral,19.64,11.44,0.14,36-60,Male,173445,50.03,3.05,5.78,Therapy,28669.0,No,55.88,3197,0.25,91213.0,0.45,32.94
Russia,2023,Ebola,Parasitic,1.12,4.18,8.39,19-35,Other,173875,55.05,3.7,8.29,Vaccination,2436.0,No,81.01,1601,4.14,98948.0,0.8,78.61
Russia,2024,Ebola,Chronic,6.47,7.52,9.2,36-60,Female,133233,77.72,4.51,5.17,Medication,36373.0,Yes,76.75,2431,8.66,65555.0,0.43,24.62
Nigeria,2024,Parkinson's Disease,Bacterial,9.8,11.96,0.34,61+,Female,250183,95.0,4.22,9.65,Surgery,43982.0,Yes,87.0,2663,0.48,61732.0,0.57,38.49
UK,2021,Cancer,Metabolic,2.2,12.83,6.99,36-60,Male,832476,76.74,,8.73,Surgery,3620.0,No,80.62,3586,4.34,973.0,0.69,41.77
South Africa,2020,Hepatitis,Autoimmune,10.63,8.24,2.93,61+,Other,701119,93.73,2.76,6.4,Therapy,41579.0,Yes,72.84,649,0.11,42089.0,0.63,46.06
South Africa,2024,Cancer,,4.01,8.01,2.36,61+,Male,121891,50.02,3.22,9.38,Medication,22571.0,No,86.73,2050,2.26,24672.0,0.65,53.35
USA,2021,Zika,Cardiovascular,10.0,2.65,2.69,36-60,Female,484734,95.41,3.49,5.53,Medication,8771.0,No,75.13,809,3.33,54116.0,0.48,33.35
Nigeria,2022,Leprosy,Respiratory,4.77,5.35,9.73,19-35,Female,609465,64.09,1.12,4.03,Medication,26239.0,No,89.07,4526,1.71,77310.0,0.57,29.23
India,2021,Alzheimer's Disease,Parasitic,1.36,9.62,4.19,36-60,Female,579663,52.01,2.27,2.27,Surgery,28519.0,No,88.29,4476,6.75,32782.0,0.51,63.22
India,2023,Diabetes,Bacterial,17.52,3.73,1.45,19-35,Other,140283,89.08,1.85,9.9,Vaccination,42153.0,Yes,70.57,4942,6.28,7462.0,0.54,43.33
Argentina,2022,Ebola,Respiratory,8.95,10.8,2.9,61+,Other,105828,90.62,4.29,7.86,Medication,22135.0,No,78.58,1925,2.79,95556.0,0.83,30.91
UK,2024,Rabies,Autoimmune,14.69,12.62,0.29,61+,Male,250968,96.57,4.69,1.48,Medication,7082.0,Yes,71.33,3639,5.31,32092.0,0.79,32.64
Argentina,2023,Ebola,Chronic,5.6,11.94,6.61,36-60,Other,96219,51.64,3.26,6.58,Medication,41451.0,Yes,73.67,1062,8.51,97325.0,0.56,35.17
India,2020,Polio,Genetic,13.92,0.69,3.0,0-18,Male,415269,81.55,3.64,4.9,Medication,49195.0,Yes,87.63,3137,3.82,77294.0,0.89,83.72
Russia,2021,Dengue,Genetic,12.27,3.68,4.02,0-18,Other,299609,,1.98,8.16,Therapy,44838.0,No,80.11,2151,4.84,55693.0,0.88,39.41
UK,2024,Alzheimer's Disease,Viral,18.96,14.45,0.97,19-35,Other,981002,87.48,1.02,6.97,Medication,7816.0,Yes,70.01,3002,4.66,27174.0,0.84,83.8
Nigeria,2023,Cholera,Genetic,13.88,3.97,3.45,0-18,Other,735596,76.68,1.77,5.78,Vaccination,16813.0,Yes,87.73,1673,6.64,59938.0,0.82,22.82
China,2020,Asthma,Viral,17.41,13.58,8.82,19-35,Female,889005,71.6,4.09,,Vaccination,16647.0,Yes,92.89,2162,8.72,58885.0,0.77,39.88
South Africa,2021,Leprosy,Chronic,8.79,12.8,2.42,0-18,Male,422985,62.28,1.88,4.64,Therapy,32805.0,Yes,84.9,1907,7.96,11116.0,0.4,80.1
Russia,2021,Measles,Viral,13.9,11.8,4.12,36-60,Female,247163,74.69,3.95,6.75,Surgery,15169.0,Yes,90.31,713,0.61,10309.0,0.76,80.65
Argentina,2020,Parkinson's Disease,Genetic,3.91,9.9,9.67,36-60,Other,147496,51.59,3.17,1.18,Vaccination,8262.0,No,71.79,1548,8.04,42055.0,0.44,32.05
UK,2022,Tuberculosis,Metabolic,10.21,6.47,2.3,61+,Male,658441,97.11,2.34,4.93,Vaccination,29468.0,Yes,78.56,1773,6.77,75368.0,0.61,50.34
Argentina,2024,Tuberculosis,Genetic,1.35,10.64,4.86,36-60,Female,969037,69.01,3.27,1.62,Vaccination,45741.0,No,62.26,967,3.71,41620.0,0.7,35.73
South Africa,2023,Hypertension,Chronic,7.7,13.53,3.03,61+,Male,661037,99.58,2.88,3.72,Therapy,20942.0,Yes,87.09,2525,7.0,75581.0,0.82,63.21
Argentina,2024,Alzheimer's Disease,Parasitic,14.94,14.15,3.7,0-18,Female,765754,83.57,2.96,8.4,Surgery,18168.0,No,82.04,267,4.33,99086.0,0.59,48.36
South Africa,2022,Parkinson's Disease,,16.09,9.47,5.84,36-60,Female,446432,98.86,2.33,2.89,Therapy,24179.0,No,62.13,3735,7.83,67145.0,0.71,79.08
China,2022,Influenza,Infectious,0.55,4.87,2.2,0-18,Other,8821,75.36,4.91,1.13,Vaccination,36900.0,Yes,93.46,3219,3.03,46319.0,0.64,78.8
Russia,2020,Ebola,Parasitic,11.53,7.94,5.87,0-18,Other,24046,97.57,4.06,9.0,Therapy,30986.0,Yes,50.97,638,9.09,22074.0,0.64,32.3
Argentina,2024,Rabies,Metabolic,0.33,3.11,2.49,61+,Male,496324,73.1,1.99,2.1,Therapy,43319.0,No,88.98,3466,8.25,74295.0,0.69,82.83
Argentina,2023,Asthma,Infectious,9.93,14.0,1.7,19-35,Male,106666,65.72,4.16,0.53,Surgery,46056.0,Yes,77.49,1434,8.19,15114.0,0.7,46.72
UK,2020,Rabies,Metabolic,18.22,11.47,1.35,61+,Male,252705,99.11,4.74,3.13,Medication,33059.0,Yes,82.64,1873,2.84,76031.0,0.4,60.38
China,2020,Cholera,Respiratory,6.19,3.85,1.21,36-60,Female,181628,83.68,2.36,6.7,Surgery,44829.0,Yes,62.04,3860,1.66,70871.0,0.46,
China,2024,Dengue,Cardiovascular,1.51,4.66,7.44,36-60,Other,79065,64.31,3.61,9.73,Therapy,47816.0,No,89.93,2873,8.02,36497.0,0.87,26.05
Nigeria,2022,HIV/AIDS,Autoimmune,14.45,,2.93,36-60,Female,597756,76.26,4.67,2.3,Vaccination,16985.0,Yes,75.58,4793,6.91,7742.0,0.76,29.59
UK,2021,Diabetes,Autoimmune,6.04,13.23,8.36,19-35,Female,355041,78.93,4.24,9.12,Therapy,48430.0,No,91.33,2363,9.28,6337.0,0.81,
UK,2023,Ebola,Bacterial,14.54,6.56,6.79,0-18,Female,122603,64.97,3.6,8.61,Therapy,17570.0,Yes,58.61,211,3.09,34413.0,0.65,21.48
India,2024,Zika,Neurological,7.78,5.11,3.01,19-35,Female,582138,61.6,,3.28,Vaccination,8042.0,Yes,61.76,3148,0.53,1290.0,0.63,75.6
USA,2021,Measles,Genetic,11.77,9.91,3.27,61+,Male,44979,92.29,4.97,0.88,Surgery,49468.0,Yes,54.52,1565,8.41,22160.0,0.74,87.4
China,2022,COVID-19,Autoimmune,19.34,5.62,0.61,19-35,Other,972903,91.6,2.33,2.52,Medication,31852.0,Yes,71.68,4831,7.8,16329.0,0.82,32.83
India,2021,Asthma,Neurological,0.75,2.68,3.47,19-35,Male,460829,69.49,3.57,4.19,Therapy,36076.0,Yes,51.04,3577,5.76,46705.0,0.73,47.12
India,2022,Hypertension,Autoimmune,8.64,10.98,6.1,36-60,Other,318996,62.63,4.79,1.23,Medication,33713.0,Yes,82.43,1176,8.17,26377.0,0.78,79.01
China,2023,Ebola,Infectious,1.96,3.75,5.06,0-18,Male,672795,66.38,2.47,8.81,Medication,21360.0,Yes,58.72,4573,1.96,98702.0,0.67,81.91
South Africa,2022,Polio,Chronic,6.72,4.65,3.93,61+,Female,234912,59.71,2.12,4.12,Medication,49866.0,Yes,66.48,1046,6.83,63414.0,0.45,23.1
USA,2022,Rabies,Cardiovascular,12.5,6.55,1.15,19-35,Male,890039,63.26,3.72,9.89,Surgery,15230.0,Yes,89.96,3517,1.47,51355.0,0.46,27.18
South Africa,2024,HIV/AIDS,Cardiovascular,1.86,8.9,1.7,19-35,Other,166844,,3.72,8.97,Vaccination,14994.0,No,56.4,1936,6.13,32890.0,0.73,27.39
UK,2022,Dengue,Genetic,17.11,13.45,,0-18,Female,110496,99.75,0.98,2.87,Medication,46998.0,Yes,87.28,3460,2.23,18107.0,0.46,27.86
Argentina,2021,Malaria,Chronic,19.85,3.44,5.43,19-35,Other,4590,91.79,1.42,6.04,Surgery,47294.0,No,97.24,3853,1.14,49735.0,0.71,66.77
South Africa,2021,Diabetes,Autoimmune,16.98,4.52,3.83,61+,Female,288688,79.65,1.63,7.56,Surgery,8402.0,Yes,63.19,4272,5.74,52008.0,0.72,52.23
Russia,2024,COVID-19,Respiratory,13.89,,6.77,36-60,Female,455524,99.04,1.41,9.92,Therapy,8009.0,Yes,62.51,3034,7.45,99534.0,0.44,23.62
Argentina,2021,COVID-19,Respiratory,10.5,12.59,6.0,61+,Other,215434,51.99,2.77,6.51,Therapy,30498.0,Yes,69.43,3062,8.14,40284.0,0.74,48.62
India,2023,Hypertension,Cardiovascular,19.98,13.84,3.06,19-35,Other,723089,92.95,2.59,6.25,Surgery,28003.0,Yes,72.56,1963,0.65,51434.0,0.42,87.23
Russia,2021,Zika,Cardiovascular,2.79,6.76,5.06,61+,Female,344692,62.96,2.9,4.69,Vaccination,11871.0,Yes,56.06,313,6.92,61249.0,0.81,52.54
China,2023,Leprosy,Genetic,1.99,1.41,6.29,0-18,Female,549208,79.31,1.05,0.94,Surgery,16163.0,Yes,82.14,4535,9.34,71823.0,0.89,57.34
Argentina,2020,Malaria,Autoimmune,9.55,5.3,4.26,0-18,Other,802933,98.39,0.6,7.44,Surgery,43988.0,No,70.17,2315,6.5,86414.0,0.8,26.52
India,2021,Parkinson's Disease,Autoimmune,,9.34,6.21,19-35,Female,753721,97.64,3.1,1.82,Vaccination,14803.0,No,57.64,2941,0.82,2148.0,0.43,47.28
Russia,2024,Cholera,Respiratory,3.94,2.45,0.37,0-18,Other,796431,92.79,2.99,2.76,Medication,9531.0,Yes,88.47,357,3.83,40854.0,0.47,63.52
Nigeria,2024,Ebola,Infectious,11.98,9.84,1.21,19-35,Male,214775,85.46,3.79,3.36,Medication,38270.0,No,60.88,1873,7.16,94320.0,0.86,52.18
USA,2023,Diabetes,Chronic,6.41,0.17,3.13,61+,Female,561216,68.94,1.59,9.88,Surgery,40434.0,Yes,56.43,691,6.22,34850.0,0.86,79.89
USA,2021,Cholera,Autoimmune,14.48,13.24,6.72,0-18,Other,263880,79.21,3.42,9.62,Surgery,32570.0,No,88.26,4752,6.6,6239.0,0.46,30.29
South Africa,2024,Asthma,Genetic,10.66,7.65,0.95,19-35,Other,966589,55.01,4.03,5.78,Therapy,18478.0,Yes,78.22,2210,8.05,98542.0,0.86,68.06
Argentina,2020,Ebola,Bacterial,6.24,7.6,7.32,0-18,Female,832675,54.28,3.89,0.75,Medication,4959.0,Yes,89.0,2523,0.93,99025.0,0.01,28.51
India,2022,Hypertension,Autoimmune,1.38,14.51,9.82,61+,Female,484555,87.03,4.67,4.17,Medication,20447.0,No,60.99,4064,3.59,45448.0,0.81,45.97
Nigeria,2020,Ebola,Neurological,6.77,,5.54,19-35,Male,889166,83.3,1.92,7.49,Therapy,5179.0,No,76.44,3317,6.15,60373.0,0.6,44.82
China,2022,Hypertension,Viral,1.89,4.72,7.58,0-18,Other,37217,76.68,3.91,2.88,Vaccination,27209.0,No,50.81,1838,5.92,99147.0,0.5,78.51
Russia,2022,HIV/AIDS,Cardiovascular,8.6,6.07,9.14,36-60,Other,476046,64.34,1.08,0.5,Therapy,12311.0,No,76.68,1892,5.6,92552.0,0.47,75.08
India,2023,Rabies,Respiratory,,2.43,8.51,19-35,Male,111981,52.45,2.76,7.88,Vaccination,12456.0,No,68.11,392,5.02,46561.0,0.54,83.59
Russia,2021,Leprosy,Viral,4.86,11.95,9.42,36-60,Male,446982,63.17,0.53,4.2,Vaccination,37481.0,No,63.32,155,5.51,36044.0,0.85,74.17
UK,2023,Diabetes,Viral,5.06,3.29,6.47,36-60,Female,474512,66.88,1.51,0.66,Therapy,32141.0,No,60.57,4686,1.88,69818.0,0.42,84.81
Argentina,2024,Asthma,Chronic,18.25,14.63,6.09,19-35,Other,885404,51.12,4.23,1.35,Medication,11353.0,No,50.06,2674,9.33,46735.0,0.6,55.48
USA,2020,Parkinson's Disease,Neurological,3.42,7.28,3.85,61+,Male,958229,91.85,2.06,3.75,Vaccination,36002.0,Yes,93.65,3820,7.88,58953.0,0.52,20.32
India,2021,Hepatitis,Genetic,18.14,14.71,9.96,36-60,Male,303599,63.2,3.02,3.76,Therapy,36387.0,No,51.66,2355,1.95,92950.0,0.41,55.97
USA,2022,Rabies,Infectious,19.12,13.99,9.52,0-18,Female,68365,85.15,2.88,4.46,Medication,23429.0,Yes,95.84,2628,1.57,64669.0,0.61,29.19
China,2024,Tuberculosis,Genetic,4.54,11.31,2.49,61+,Male,241608,58.02,4.94,4.09,Medication,1723.0,Yes,67.24,1136,5.49,17439.0,0.8,41.03
Argentina,2023,Hepatitis,Genetic,12.35,11.9,7.32,61+,Female,746451,89.42,3.06,2.91,Medication,1961.0,No,57.79,445,3.6,10035.0,0.72,64.75
South Africa,2023,Dengue,Cardiovascular,18.78,0.26,,36-60,Female,584243,51.62,3.95,3.15,Vaccination,38834.0,Yes,65.0,4410,3.71,57660.0,0.87,85.54
USA,2022,Dengue,Genetic,5.26,11.21,1.17,36-60,Male,511634,94.88,3.74,1.39,Vaccination,10367.0,No,78.12,3619,3.67,1960.0,0.85,41.75
China,2023,Dengue,Chronic,14.88,2.38,1.07,19-35,Male,18815,60.95,4.51,6.69,Therapy,26824.0,No,69.31,4134,1.44,39126.0,0.69,21.91
India,2020,Hepatitis,Parasitic,10.42,5.2,7.18,19-35,Female,122702,65.48,4.46,7.83,Surgery,44119.0,Yes,75.18,1151,3.58,96314.0,0.75,31.33
India,2024,HIV/AIDS,Genetic,1.12,4.66,8.08,61+,Other,662888,95.12,1.96,4.02,Vaccination,32182.0,No,81.06,435,7.21,42497.0,0.52,41.16
India,2020,COVID-19,Infectious,3.39,14.17,1.25,36-60,Male,581519,74.61,3.22,5.11,Medication,43434.0,No,73.18,2953,8.12,43694.0,0.88,62.57
Argentina,2022,HIV/AIDS,Neurological,10.88,0.12,2.09,36-60,Female,268711,60.03,2.33,1.3,Vaccination,29951.0,Yes,96.44,2022,7.05,38824.0,0.44,72.92
Nigeria,2022,Hypertension,Respiratory,6.62,1.27,4.44,36-60,Other,804662,85.29,1.26,3.45,Vaccination,29903.0,Yes,67.63,32,1.42,60059.0,0.71,64.44
India,2020,Zika,Bacterial,3.82,1.56,9.96,36-60,Male,613349,86.0,0.71,7.26,Medication,31674.0,No,94.05,3177,6.43,9529.0,0.66,47.15
Argentina,2020,Polio,Cardiovascular,10.95,3.48,5.71,0-18,Other,966831,56.6,3.3,3.45,Medication,47212.0,Yes,57.05,4251,8.0,10061.0,0.41,44.92
India,2020,Cholera,Genetic,2.99,9.93,8.49,61+,Male,96776,81.19,4.91,1.29,Surgery,30650.0,Yes,67.8,3914,5.66,3273.0,0.69,50.86
South Africa,2021,Alzheimer's Disease,Metabolic,15.27,4.9,0.91,36-60,Male,509097,61.13,3.94,8.69,Medication,8111.0,No,82.97,3917,8.65,35846.0,0.86,30.64
Nigeria,2022,Alzheimer's Disease,Bacterial,1.59,6.23,,61+,Female,190649,81.43,4.82,1.19,Surgery,49370.0,No,55.57,303,2.96,77447.0,0.74,62.64
Nigeria,2020,Parkinson's Disease,Autoimmune,16.49,13.0,8.69,61+,Female,162451,77.87,1.82,9.91,Surgery,45859.0,Yes,67.26,3718,7.43,66334.0,0.82,69.74
Argentina,2023,Diabetes,Viral,3.93,14.11,2.25,61+,Female,567350,64.25,3.56,7.1,Medication,29782.0,Yes,86.96,735,7.25,49213.0,0.59,73.27
Argentina,2023,Diabetes,Autoimmune,13.73,7.74,3.46,36-60,Female,668259,71.09,3.66,3.66,Vaccination,26528.0,Yes,77.33,388,8.96,32235.0,0.7,34.03
India,2021,Zika,Genetic,3.75,6.6,9.54,19-35,Male,445020,96.35,1.31,5.67,Surgery,29230.0,No,70.74,780,4.56,61579.0,0.63,41.29
Argentina,2021,Rabies,Bacterial,2.15,3.13,7.71,0-18,Female,55827,57.75,1.68,4.07,Surgery,28761.0,No,75.06,704,1.22,2267.0,0.8,20.74
Nigeria,2021,Cancer,Viral,13.57,14.1,2.03,36-60,Female,758980,92.18,3.47,5.14,Surgery,13651.0,Yes,50.87,1815,2.89,42651.0,0.9,21.09
South Africa,2024,Diabetes,Metabolic,5.6,7.34,5.09,61+,Other,303275,54.25,1.61,4.45,Medication,29097.0,Yes,92.11,677,9.49,38739.0,0.5,69.3
India,2023,Asthma,Chronic,8.03,1.42,5.91,36-60,Other,461648,94.92,2.18,9.77,Vaccination,40225.0,No,68.47,300,4.92,6063.0,0.51,28.8
South Africa,2021,Zika,Viral,0.8,9.12,5.31,0-18,Female,1291,80.48,4.96,7.26,Surgery,36527.0,Yes,87.36,1541,4.8,66467.0,0.86,41.06
UK,2024,Measles,Viral,4.4,14.77,6.59,61+,Other,682561,56.16,2.62,6.78,Therapy,27580.0,Yes,78.23,1474,6.57,5543.0,0.43,65.68
Nigeria,2023,Leprosy,Neurological,,2.94,1.42,0-18,Female,514807,85.44,0.96,3.43,Surgery,20534.0,Yes,80.9,506,5.0,509523.1992481203,0.75,50.54
Argentina,2021,Cholera,,17.47,3.12,0.35,61+,Female,728950,99.66,1.46,3.6,Medication,2814.0,Yes,74.52,4352,5.46,70399.0,0.64,63.67
Russia,2021,Tuberculosis,Autoimmune,0.85,,1.22,36-60,Female,173928,93.47,2.5,1.59,Therapy,1194.0,No,94.75,2760,5.32,22594.0,0.88,58.76
Nigeria,2024,Hepatitis,Metabolic,5.46,4.67,9.77,61+,Male,262069,68.78,2.84,8.94,Medication,508.0,No,94.49,4856,7.84,54993.0,0.73,68.48
Nigeria,2020,Rabies,Bacterial,19.0,1.71,5.41,19-35,Female,938860,55.54,1.12,0.8,Surgery,25004.0,No,92.67,1897,3.32,54880.0,0.55,49.89
China,2020,Rabies,,3.94,3.2,1.85,36-60,Other,762019,60.96,0.58,7.16,Vaccination,6418.0,No,91.82,2363,0.97,43859.0,0.77,43.48
China,2022,Zika,Bacterial,18.91,3.22,4.85,0-18,Other,27619,84.09,4.15,8.0,Medication,27079.0,Yes,65.83,4192,7.97,16179.0,0.73,80.2
Argentina,2021,HIV/AIDS,Genetic,10.35,6.99,9.95,61+,Female,48026,54.07,4.91,2.29,Medication,17411.0,Yes,95.01,1204,2.08,76841.0,0.65,23.8
China,2020,Ebola,Respiratory,0.39,5.03,6.18,19-35,Male,247681,97.23,4.99,7.3,Therapy,20513.0,Yes,51.12,4238,1.16,25093.0,0.41,22.83
India,2020,Polio,Infectious,9.11,4.14,0.45,0-18,Male,714625,97.6,3.43,3.97,Surgery,9490.0,No,66.24,1915,5.88,96668.0,0.77,55.1
UK,2024,Ebola,Chronic,12.93,9.54,1.72,61+,Other,346551,56.04,3.56,2.29,Medication,5951.0,Yes,57.97,3718,4.25,58728.0,0.56,64.62
China,2024,Hepatitis,,13.03,7.2,8.39,36-60,Female,878253,61.36,4.28,1.3,Vaccination,20874.0,Yes,54.56,3077,4.3,94024.0,0.86,25.52
China,2022,COVID-19,Genetic,2.9,8.85,7.7,61+,Other,297730,69.35,2.29,4.76,Vaccination,4865.0,No,74.21,219,1.99,7643.0,0.61,59.68
Argentina,2023,Polio,Chronic,15.06,7.36,,0-18,Female,287550,60.03,4.32,8.92,Therapy,23496.0,Yes,66.1,1505,3.71,62620.0,0.57,49.22
South Africa,2023,Hypertension,Neurological,3.31,8.22,8.25,19-35,Other,79977,94.87,3.37,6.86,Vaccination,2237.0,Yes,74.89,4564,0.55,1196.0,0.53,26.25
UK,2022,Alzheimer's Disease,Cardiovascular,13.19,10.59,2.98,36-60,Other,888806,76.16,2.36,8.04,Surgery,21537.0,No,81.0,3708,0.91,70354.0,0.64,
UK,2024,Tuberculosis,Genetic,6.8,11.59,9.41,0-18,Male,969377,91.41,3.13,0.64,Medication,34322.0,No,85.21,2859,6.91,46752.0,0.58,56.73
South Africa,2024,Asthma,Chronic,10.29,9.74,,36-60,Other,89801,93.16,3.01,3.78,Therapy,36783.0,Yes,62.09,4829,0.42,3808.0,0.56,85.67
USA,2020,Polio,Viral,3.03,3.57,1.7,36-60,Other,84187,71.78,2.4,2.3,Vaccination,32395.0,No,75.39,1176,4.42,99665.0,0.54,82.24
Nigeria,2020,Asthma,Autoimmune,13.43,12.09,9.08,0-18,Female,806882,88.45,3.69,7.12,Surgery,25419.0,Yes,80.98,2310,4.0,31428.0,0.42,55.57
Nigeria,2023,HIV/AIDS,Chronic,5.65,3.42,0.3,36-60,Female,946289,83.51,3.15,6.06,Medication,43566.0,No,80.67,1354,9.3,33859.0,0.78,28.24
UK,2022,Asthma,Viral,5.19,2.29,0.45,61+,Female,54412,85.58,3.39,2.55,Medication,14755.0,Yes,84.73,2711,4.95,40953.0,0.84,21.82
USA,2021,Zika,Cardiovascular,2.72,8.71,3.1,36-60,Other,896332,99.44,3.06,8.78,Surgery,48609.0,Yes,84.18,2022,5.34,43458.0,0.5,64.78
Nigeria,2022,Tuberculosis,Genetic,11.33,0.78,0.67,0-18,Female,508941,61.82,2.38,8.33,Vaccination,24504.0,No,97.57,4603,2.89,81314.0,0.43,51.07
UK,2022,Ebola,Parasitic,2.58,1.42,2.79,19-35,Other,929248,76.66,1.56,4.8,Therapy,42036.0,Yes,83.39,1707,7.46,66306.0,0.85,27.46
China,2020,Cholera,Viral,4.41,13.81,5.52,61+,Female,533306,81.71,3.06,5.34,Medication,16927.0,No,58.35,3646,8.88,73552.0,0.61,45.59
